iter	RMSE
0	29.97435459
1	27.42574651
2	25.19344677
3	23.29696264
4	21.62771534
5	20.00147523
6	18.62672602
7	17.41699495
8	16.37828821
9	15.41898473
10	14.62327847
11	13.91958515
12	13.2983065
13	12.78210272
14	12.30983896
15	11.85454901
16	11.48817619
17	11.17799956
18	10.68163874
19	10.26050555
20	9.873790447
21	9.672445975
22	9.468537868
23	9.241289329
24	9.107354396
25	8.929762662
26	8.787386977
27	8.486751964
28	8.357597224
29	8.222700187
30	8.099342617
31	7.870325994
32	7.733041584
33	7.532777319
34	7.433642342
35	7.355062669
36	7.269113855
37	7.104117572
38	7.014476348
39	6.945524829
40	6.854070841
41	6.6930675
42	6.627261551
43	6.569912947
44	6.466670195
45	6.39329527
46	6.346889386
47	6.238559465
48	6.167200471
49	6.065720456
50	6.0146059
51	5.959322667
52	5.899361476
53	5.812719071
54	5.765942703
55	5.727462865
56	5.697542184
57	5.668691623
58	5.623296325
59	5.590766482
60	5.555610615
61	5.516625228
62	5.475600221
63	5.447715221
64	5.425569453
65	5.40128083
66	5.370612407
67	5.291047989
68	5.268123647
69	5.250423558
70	5.204219419
71	5.167234045
72	5.148849734
73	5.131149723
74	5.11294406
75	5.04495655
76	5.028792999
77	5.001320453
78	4.931705597
79	4.897485967
80	4.860893704
81	4.835522083
82	4.826050883
83	4.799352076
84	4.786410159
85	4.77645892
86	4.758074756
87	4.735827004
88	4.67727777
89	4.657833096
90	4.647537718
91	4.6359505
92	4.594291181
93	4.584646896
94	4.553038027
95	4.533434857
96	4.524099491
97	4.481755279
98	4.459595339
99	4.442970331
