iter	Passed	Remaining
0	2	255
1	4	237
2	7	242
3	9	228
4	11	220
5	13	218
6	16	216
7	18	215
8	21	216
9	23	210
10	25	206
11	28	207
12	31	212
13	33	207
14	36	206
15	39	205
16	42	209
17	44	203
18	47	202
19	50	200
20	51	195
21	55	196
22	57	192
23	61	193
24	63	189
25	65	185
26	68	185
27	70	181
28	72	176
29	74	174
30	77	171
31	78	167
32	82	167
33	84	164
34	87	161
35	89	159
36	91	156
37	94	154
38	96	151
39	98	147
40	101	145
41	103	143
42	105	139
43	107	137
44	110	134
45	111	130
46	114	128
47	116	126
48	118	122
49	120	120
50	122	118
51	124	114
52	126	112
53	128	109
54	129	106
55	131	103
56	134	101
57	135	98
58	137	95
59	139	92
60	140	90
61	142	87
62	143	84
63	145	81
64	147	79
65	148	76
66	150	74
67	151	71
68	153	69
69	155	66
70	156	64
71	158	61
72	159	59
73	161	56
74	163	54
75	164	52
76	166	49
77	168	47
78	169	45
79	171	42
80	173	40
81	174	38
82	176	36
83	177	33
84	179	31
85	181	29
86	182	27
87	185	25
88	187	23
89	188	20
90	190	18
91	193	16
92	194	14
93	196	12
94	198	10
95	199	8
96	202	6
97	203	4
98	205	2
99	207	0
